gamesPlayed,averageTDError,weightDelta,weightMean,weightStdDev,weightMaxAbs,weightNearZero,weightLarge
630000, 0.03868272, 0.022665348, 0.0012653422, 0.11553594, 2.6567833, 617, 0
631000, 0.04024728, 0.04125093, 0.0012836271, 0.11553609, 2.6576574, 617, 0
632000, 0.03927424, 0.023192659, 0.0012764742, 0.11557439, 2.6589425, 617, 0
633000, 0.038765732, 0.02874921, 0.001285458, 0.11559343, 2.6609082, 617, 0
634000, 0.038849473, 0.020333458, 0.0012767584, 0.11562828, 2.6624062, 617, 0
635000, 0.03937581, 0.025740292, 0.0012886475, 0.115637586, 2.6637423, 617, 0
636000, 0.040214688, 0.02430465, 0.0012809047, 0.11568982, 2.6651256, 617, 0
637000, 0.038881782, 0.019451614, 0.0012846946, 0.115698494, 2.6668546, 617, 0
638000, 0.039547395, 0.013625343, 0.0012851522, 0.11570785, 2.6681297, 617, 0
639000, 0.03946583, 0.025481835, 0.001276753, 0.11575661, 2.6688323, 617, 0
640000, 0.039638303, 0.02641053, 0.0012859198, 0.115768105, 2.6705008, 617, 0
641000, 0.039463714, 0.02277048, 0.0012779509, 0.115808725, 2.6722064, 617, 0
642000, 0.039752442, 0.05135592, 0.0012519032, 0.11587609, 2.6736937, 617, 0
643000, 0.039348718, 0.039088346, 0.0012736898, 0.11586758, 2.6744542, 617, 0
644000, 0.038968813, 0.01849977, 0.0012720254, 0.11587973, 2.675235, 617, 0
645000, 0.038522072, 0.021012899, 0.0012787937, 0.11588878, 2.676101, 617, 0
646000, 0.039322313, 0.019454675, 0.0012823065, 0.115914576, 2.6777842, 617, 0
647000, 0.03902422, 0.022128593, 0.0012820347, 0.115956366, 2.6789691, 617, 0
648000, 0.03967859, 0.02180274, 0.0012828272, 0.11599155, 2.6804235, 617, 0
649000, 0.039812844, 0.02348767, 0.0012901125, 0.115992986, 2.6818285, 617, 0
650000, 0.0398982, 0.020887403, 0.0012853049, 0.11603271, 2.6830187, 617, 0
651000, 0.041099213, 0.01963863, 0.001281169, 0.11606488, 2.6844256, 617, 0
652000, 0.03835978, 0.027133528, 0.0012920259, 0.11607747, 2.6856835, 617, 0
653000, 0.03907432, 0.018704662, 0.0012910365, 0.11608155, 2.6873887, 617, 0
654000, 0.0394998, 0.020502198, 0.0012905762, 0.11609953, 2.6885226, 617, 0
655000, 0.03960221, 0.024853498, 0.0012887473, 0.116123654, 2.6902652, 617, 0
656000, 0.03949224, 0.01940477, 0.0012856285, 0.11616866, 2.6917045, 617, 0
657000, 0.03896556, 0.020857366, 0.0012826108, 0.11620309, 2.6927786, 617, 0
658000, 0.040107112, 0.027626097, 0.0012710498, 0.11624162, 2.6941679, 617, 0
659000, 0.038980138, 0.016349863, 0.0012741564, 0.11625689, 2.6955817, 617, 0
660000, 0.039468072, 0.018598374, 0.0012823157, 0.116277404, 2.6969378, 617, 0
661000, 0.039943725, 0.019821404, 0.0012791276, 0.11628805, 2.6988358, 617, 0
662000, 0.03939054, 0.041171324, 0.0013004153, 0.11626561, 2.7003284, 617, 0
663000, 0.03879846, 0.034744713, 0.0012834508, 0.11632558, 2.7011845, 617, 0
664000, 0.03969352, 0.022562591, 0.0012952466, 0.11631942, 2.7022367, 617, 0
665000, 0.039023746, 0.0186555, 0.00128828, 0.116364814, 2.7033758, 618, 0
666000, 0.03984207, 0.016035944, 0.0012913917, 0.116391346, 2.7040977, 618, 0
667000, 0.039392274, 0.023728494, 0.0013014753, 0.11639642, 2.7056935, 618, 0
668000, 0.03943173, 0.021591865, 0.0012942068, 0.1164308, 2.7065053, 618, 0
669000, 0.03888452, 0.021761267, 0.0013001205, 0.11643964, 2.7073803, 618, 0
670000, 0.040010523, 0.023557086, 0.0013056564, 0.11643934, 2.7085063, 618, 0
671000, 0.038801067, 0.020275049, 0.0013074147, 0.11646499, 2.7095428, 618, 0
672000, 0.039658792, 0.015140909, 0.0013088265, 0.11648468, 2.7102482, 618, 0
673000, 0.039290395, 0.01767566, 0.0013038333, 0.1165025, 2.7114315, 618, 0
674000, 0.039458636, 0.025054412, 0.0013125496, 0.116512954, 2.7124777, 618, 0
675000, 0.039675117, 0.018947164, 0.0013097022, 0.1165441, 2.7134438, 618, 0
676000, 0.039989486, 0.030853063, 0.0012959082, 0.11658657, 2.7142699, 618, 0
677000, 0.040015936, 0.03271344, 0.0013137945, 0.11658729, 2.715024, 618, 0
678000, 0.03993945, 0.031970203, 0.0012965791, 0.11663831, 2.717114, 618, 0
