10000, 0.255
20000, 0.717
30000, 0.761
40000, 0.808
50000, 0.515
60000, 0.87
70000, 0.754
80000, 0.564
90000, 0.952
100000, 0.718
110000, 0.734
120000, 0.28
130000, 0.81
140000, 0.707
150000, 0.682
160000, 0.857
170000, 0.904
180000, 0.929
190000, 1.162
200000, 1.066
