10000, -0.268
20000, -0.541
30000, -0.32
40000, -0.747
50000, -1.188
60000, -1.415
70000, -1.119
80000, -0.33
90000, -1.604
100000, -0.226
110000, 0.193
120000, -0.465
130000, -0.826
140000, -0.425
150000, -0.506
160000, -0.818
170000, -0.986
180000, -0.796
190000, -0.275
200000, -0.029
10000, 0.046
20000, 0.114
30000, 0.004
40000, 0.168
50000, -0.383
60000, 0.205
70000, 0.316
80000, -0.296
90000, -0.355
100000, -0.531
110000, -0.25
120000, -0.114
130000, -0.178
140000, -0.096
150000, 0.086
160000, -0.207
170000, -0.059
180000, 0.093
190000, 0.216
200000, 0.006
