generation,bestFitness,avgFitness,worstFitness,stdDev
0,0.050000,0.008400,0.000000,0.011893
1,0.090000,0.011600,0.000000,0.015730
2,0.060000,0.014200,0.000000,0.015178
3,0.060000,0.015500,0.000000,0.015580
4,0.090000,0.014800,0.000000,0.016642
5,0.080000,0.016300,0.000000,0.019113
6,0.090000,0.017700,0.000000,0.022621
7,0.100000,0.024800,0.000000,0.024103
8,0.090000,0.022600,0.000000,0.021983
9,0.080000,0.025700,0.000000,0.019455
10,0.140000,0.028800,0.000000,0.028540
11,0.160000,0.035000,0.000000,0.031032
12,0.160000,0.037200,0.000000,0.031499
13,0.120000,0.043100,0.000000,0.028555
14,0.210000,0.055500,0.010000,0.038791
15,0.190000,0.054600,0.000000,0.039228
16,0.200000,0.060200,0.010000,0.041976
17,0.210000,0.068000,0.000000,0.044788
18,0.300000,0.083800,0.000000,0.050513
19,0.190000,0.097100,0.020000,0.039857
20,0.240000,0.104900,0.020000,0.048280
21,0.240000,0.114000,0.010000,0.049920
22,0.270000,0.120200,0.020000,0.050040
23,0.370000,0.135500,0.040000,0.053430
24,0.290000,0.137400,0.010000,0.053491
25,0.320000,0.146500,0.030000,0.057782
26,0.310000,0.149700,0.040000,0.054872
27,0.360000,0.170500,0.080000,0.056007
28,0.310000,0.171300,0.020000,0.053285
29,0.380000,0.194100,0.090000,0.061532
30,0.330000,0.196300,0.070000,0.060723
31,0.330000,0.203200,0.070000,0.058427
32,0.380000,0.203600,0.080000,0.061131
33,0.380000,0.214200,0.090000,0.059702
34,0.390000,0.221000,0.100000,0.065414
35,0.380000,0.222900,0.100000,0.059587
36,0.380000,0.230400,0.060000,0.060397
37,0.450000,0.239700,0.090000,0.065855
38,0.370000,0.244400,0.120000,0.053969
39,0.420000,0.234000,0.120000,0.060100
40,0.450000,0.242300,0.120000,0.066451
41,0.480000,0.253100,0.110000,0.064042
42,0.400000,0.248500,0.130000,0.060834
43,0.400000,0.250400,0.090000,0.071245
44,0.420000,0.249800,0.100000,0.065650
45,0.450000,0.263600,0.140000,0.064862
46,0.440000,0.278700,0.110000,0.063775
47,0.460000,0.279000,0.140000,0.074384
48,0.430000,0.285500,0.130000,0.071321
49,0.500000,0.287900,0.140000,0.066277
50,0.410000,0.284900,0.130000,0.062714
51,0.480000,0.304600,0.130000,0.072697
52,0.430000,0.286100,0.090000,0.062704
53,0.470000,0.309100,0.120000,0.066319
54,0.480000,0.297200,0.170000,0.068733
55,0.540000,0.299200,0.160000,0.074494
56,0.480000,0.307700,0.140000,0.066571
57,0.500000,0.303100,0.160000,0.059409
58,0.520000,0.309300,0.200000,0.064455
59,0.540000,0.319100,0.160000,0.064484
60,0.470000,0.302700,0.120000,0.065587
61,0.570000,0.333900,0.190000,0.071020
62,0.470000,0.325600,0.160000,0.060354
63,0.520000,0.321400,0.170000,0.063151
64,0.530000,0.335600,0.150000,0.075780
65,0.570000,0.330600,0.210000,0.070920
66,0.540000,0.341400,0.210000,0.071903
67,0.530000,0.343300,0.170000,0.073267
68,0.590000,0.335400,0.200000,0.073776
69,0.600000,0.331800,0.180000,0.078350
70,0.530000,0.344400,0.200000,0.070176
71,0.510000,0.356700,0.170000,0.065392
72,0.550000,0.375800,0.210000,0.072321
73,0.580000,0.379500,0.200000,0.073422
74,0.540000,0.371500,0.240000,0.066789
75,0.560000,0.382000,0.230000,0.071302
76,0.670000,0.396100,0.200000,0.088576
77,0.640000,0.384700,0.230000,0.079542
78,0.580000,0.411700,0.250000,0.071667
79,0.590000,0.413000,0.200000,0.085012
80,0.600000,0.419600,0.230000,0.078319
81,0.570000,0.409000,0.200000,0.072918
82,0.590000,0.413000,0.220000,0.080293
83,0.630000,0.414800,0.250000,0.076269
84,0.630000,0.417200,0.250000,0.078461
85,0.630000,0.423500,0.280000,0.073121
86,0.630000,0.423400,0.170000,0.073242
87,0.630000,0.430300,0.200000,0.083695
88,0.610000,0.430700,0.270000,0.082259
89,0.650000,0.426200,0.240000,0.079382
90,0.620000,0.436900,0.250000,0.075547
91,0.660000,0.441900,0.230000,0.082483
92,0.650000,0.438000,0.270000,0.072774
93,0.740000,0.451000,0.280000,0.084291
94,0.650000,0.455800,0.320000,0.079927
95,0.680000,0.483200,0.320000,0.079295
96,0.650000,0.461000,0.280000,0.080728
97,0.660000,0.478600,0.270000,0.089398
98,0.680000,0.464100,0.300000,0.080089
99,0.720000,0.467700,0.200000,0.092540
