generation,bestFitness,avgFitness,worstFitness,stdDev
0,0.180000,0.016200,0.000000,0.030456
1,0.120000,0.022300,0.000000,0.026376
2,0.140000,0.025300,0.000000,0.027801
3,0.120000,0.024000,0.000000,0.026721
4,0.110000,0.028800,0.000000,0.026049
5,0.210000,0.032500,0.000000,0.034275
6,0.180000,0.034700,0.000000,0.036013
7,0.180000,0.038800,0.000000,0.035924
8,0.170000,0.051000,0.000000,0.041316
9,0.240000,0.059800,0.000000,0.049213
10,0.280000,0.073600,0.000000,0.056807
11,0.280000,0.074800,0.000000,0.055163
12,0.250000,0.088000,0.000000,0.054406
13,0.270000,0.085600,0.000000,0.054577
14,0.260000,0.097600,0.000000,0.059298
15,0.290000,0.112900,0.000000,0.065319
16,0.420000,0.144100,0.010000,0.077474
17,0.330000,0.130600,0.000000,0.072537
18,0.410000,0.178600,0.020000,0.076105
19,0.380000,0.178900,0.040000,0.069741
20,0.420000,0.189400,0.020000,0.084839
21,0.520000,0.225400,0.040000,0.087993
22,0.470000,0.238900,0.060000,0.090365
23,0.470000,0.259700,0.080000,0.086017
24,0.520000,0.277400,0.100000,0.094452
25,0.460000,0.288500,0.070000,0.085935
26,0.550000,0.296300,0.130000,0.085600
27,0.730000,0.312500,0.110000,0.092676
28,0.580000,0.353000,0.130000,0.095294
29,0.550000,0.319200,0.140000,0.101633
30,0.570000,0.310200,0.130000,0.078166
31,0.570000,0.321500,0.130000,0.081919
32,0.580000,0.339400,0.130000,0.096092
33,0.570000,0.349300,0.120000,0.098064
34,0.650000,0.385500,0.130000,0.097523
35,0.620000,0.394000,0.160000,0.091302
36,0.740000,0.434500,0.240000,0.102053
37,0.600000,0.424500,0.220000,0.083850
38,0.650000,0.443000,0.260000,0.084670
39,0.690000,0.442700,0.220000,0.094179
40,0.650000,0.435500,0.240000,0.082260
41,0.650000,0.448700,0.260000,0.089181
42,0.660000,0.445500,0.220000,0.092221
43,0.670000,0.467500,0.260000,0.085806
44,0.740000,0.472800,0.270000,0.098215
45,0.690000,0.491800,0.260000,0.084869
46,0.780000,0.496900,0.310000,0.094601
47,0.790000,0.509800,0.300000,0.097755
48,0.730000,0.513900,0.300000,0.085987
49,0.750000,0.516000,0.290000,0.095258
50,0.820000,0.548500,0.340000,0.098675
51,0.850000,0.575000,0.380000,0.095504
52,0.820000,0.577800,0.280000,0.085716
53,0.870000,0.567800,0.380000,0.104265
54,0.820000,0.595300,0.300000,0.102239
55,0.920000,0.582600,0.330000,0.111046
56,0.800000,0.582100,0.300000,0.100621
57,0.850000,0.608600,0.370000,0.104528
58,0.860000,0.608900,0.360000,0.102586
59,0.870000,0.606900,0.320000,0.103525
60,0.820000,0.604200,0.360000,0.091501
61,0.890000,0.616900,0.380000,0.104026
62,0.930000,0.630100,0.440000,0.092903
63,0.870000,0.632600,0.380000,0.091385
64,0.840000,0.598400,0.380000,0.090980
65,0.860000,0.610300,0.340000,0.101148
66,0.870000,0.633600,0.450000,0.086250
67,0.900000,0.641400,0.410000,0.109836
68,0.980000,0.656600,0.430000,0.109217
69,0.900000,0.640500,0.410000,0.095093
70,1.000000,0.681100,0.430000,0.112222
71,0.940000,0.685200,0.480000,0.086040
72,0.970000,0.672700,0.480000,0.100994
73,0.980000,0.679500,0.430000,0.122151
74,0.940000,0.679100,0.450000,0.101716
75,0.960000,0.686300,0.440000,0.099334
76,0.990000,0.704100,0.480000,0.097889
77,0.950000,0.686000,0.450000,0.107070
78,0.950000,0.719400,0.490000,0.105440
79,1.030000,0.711900,0.460000,0.114216
80,1.040000,0.733200,0.440000,0.104775
81,0.940000,0.724500,0.570000,0.084562
82,0.990000,0.706300,0.430000,0.107913
83,0.910000,0.678300,0.430000,0.089499
84,0.910000,0.682000,0.420000,0.099096
85,1.070000,0.693000,0.430000,0.114425
86,0.960000,0.677300,0.460000,0.109589
87,0.900000,0.678800,0.420000,0.104041
88,0.940000,0.661700,0.440000,0.106593
89,0.910000,0.697700,0.470000,0.098862
90,0.960000,0.685500,0.400000,0.106154
91,0.950000,0.703700,0.450000,0.107969
92,0.990000,0.723900,0.460000,0.099688
93,0.990000,0.716800,0.500000,0.101999
94,0.970000,0.724700,0.520000,0.088988
95,1.050000,0.724000,0.480000,0.100598
96,0.980000,0.721700,0.520000,0.090477
97,0.950000,0.729600,0.430000,0.095947
98,1.010000,0.736800,0.400000,0.103052
99,0.930000,0.742900,0.540000,0.083658


Best agent statistics:
  Fitness: 1.07 PPG
Weight Statistics:
  Mean: 0.0005, StdDev: 0.1285, MaxAbs: 0.5734
  Near-zero (<0.01): 532 (6.6%)
  Large (>5.0): 0 (0.0%)

